Search Engine,Link,Title,Source
Bing,https://markets.businessinsider.com/news/stocks/ubs-reaffirms-their-hold-rating-on-challenger-limited-cfigf-1032222772,UBS Reaffirms Their Hold Rating on Challenger Limited (CFIGF),Business Insider
Bing,https://www.reuters.com/business/finance/ubs-ceo-tells-credit-suisse-staff-stay-focused-clients-business-2023-04-06/,UBS CEO tells Credit Suisse staff to stay focused on clients and the business,Reuters
Bing,https://www.msn.com/en-us/money/personalfinance/credit-suisse-had-gigantic-outflows-in-weekend-merger-with-ubs-was-announced/ar-AA19KT0J,Credit Suisse had gigantic outflows in weekend merger with UBS was announced,Reuters on MSN
Bing,https://www.barrons.com/articles/mid-cap-banks-profits-deposits-funding-crisis-5aae9532,"Mid-Cap Banks Face New Pressure on Profits After ‘Crisis,’ UBS Warns",Barron's
Bing,https://www.usnews.com/news/business/articles/2023-04-05/swiss-regulators-defend-rescue-of-credit-suisse-via-ubs-deal,UBS Confident About Credit Suisse Deal Despite 'Huge' Risk,U.S. News & World Report
Bing,https://www.msn.com/en-in/money/news/tcs-ceo-designate-sees-impact-on-some-projects-due-to-credit-suisse-ubs-merger/ar-AA19NCeF,TCS CEO designate sees impact on some projects due to Credit Suisse-UBS merger,CNBCTV18 on MSN
Bing,https://www.ibtimes.com/ubs-shareholders-weigh-credit-suisse-mega-merger-3683400,UBS Shareholders To Weigh In On Credit Suisse Mega-merger,International Business Times
Bing,https://www.nytimes.com/2023/04/04/business/dealbook/credit-suisse-shareholders.html,"For Credit Suisse Shareholders, a Wake Followed by Recriminations",The New York Times
Bing,https://markets.businessinsider.com/news/stocks/ubs-reaffirms-their-hold-rating-on-asx-limited-asxff-1032222771,UBS Reaffirms Their Hold Rating on ASX Limited (ASXFF),Business Insider
Bing,https://seekingalpha.com/news/3954726-automakers-likely-driving-toward-overproduction-ubs,Automakers likely driving toward overproduction - UBS,Seeking Alpha
Bing,https://nypost.com/2023/03/21/ubs-credit-suisse-takeover-could-layoff-tens-of-thousands/,Credit Suisse rescue reportedly could spur ‘tens of thousands’ of layoffs,New York Post
Bing,https://www.cnn.com/2023/03/19/business/credit-suisse-ubs-rescue/index.html,UBS is buying Credit Suisse in bid to halt banking crisis,CNN
Bing,https://www.cnn.com/2023/03/29/business/ubs-new-ceo-sergio-ermotti-intl-hnk/index.html,UBS brings back Sergio Ermotti as CEO to oversee Credit Suisse rescue,CNN
Bing,https://nypost.com/2023/03/19/ubs-agrees-to-buy-troubled-credit-suisse-for-more-than-2b-to-secure-financial-stability/,UBS agrees to buy troubled Credit Suisse for more than $3B to ‘secure financial stability’,New York Post
Bing,https://www.nytimes.com/2023/03/29/business/dealbook/ubs-credit-suisse-sergio-ermotti.html,UBS Taps an Ex-C.E.O. to ‘Pilot’ Its Takeover of Credit Suisse,The New York Times
Bing,https://abcnews.go.com/Business/wireStory/ubs-brings-back-ermotti-ceo-credit-suisse-deal-98198740,UBS brings back Ermotti as CEO with Credit Suisse deal ahead,ABC News
Bing,https://www.ubs.com/microsites/ubs-investment-banking-challenge/en/welcome.html,Investment Banking Development Challenge,UBS
Bing,https://www.fstech.co.uk/fst/Swiss_Parliament_Emergency_Meeting.php,Swiss parliament to hold emergency meeting over Credit Suisse-UBS merger,fstech
Bing,https://www.ubs.com/global/en/investor-relations/investors/shareholder-information/dividend/history.html,Detailed dividend payment history,UBS
Bing,https://www.msn.com/en-ph/news/other/credit-suisse-merger-right-choice-ubs/ar-AA19yeot,Credit Suisse merger right choice – UBS,The Manila Times on MSN
Bing,https://www.nytimes.com/2023/03/29/business/dealbook/ubs-ceo-ermotti.html,UBS Brings Back Ex-C.E.O. to Manage Takeover of Troubled Credit Suisse,The New York Times
Bing,https://nypost.com/2023/03/29/ubs-brings-back-ex-ceo-sergio-ermotti-after-credit-suisse-deal/,UBS brings back ex-CEO Sergio Ermotti after Credit Suisse deal,New York Post
Bing,https://www.fool.com/investing/2023/03/22/ubs-acquisition-credit-suisse-pay-off-shareholders/,Will UBS' Acquisition of Credit Suisse Pay Off for Shareholders?,The Motley Fool
Bing,https://www.reuters.com/breakingviews/ubs-salvages-most-value-credit-suisse-wreck-2023-03-19/,UBS salvages most value from Credit Suisse wreck,Reuters
Bing,https://www.boston.com/news/business/2023/03/19/ubs-to-buy-credit-suisse-for-nearly-3-25-billion-to-calm-turmoil/,UBS to buy Credit Suisse for nearly $3.25 billion to calm turmoil,Boston.com
Bing,https://seekingalpha.com/article/4588731-ubs-just-got-monster-bargain-investors-can-too,"UBS Just Got A Monster Bargain - And Investors Can, Too",Seeking Alpha
Bing,https://www.thestreet.com/banking/ubs-acquires-credit-suisse-for-more-than-3-billion,UBS Acquires Credit Suisse for More Than $3 Billion,TheStreet.com
Bing,https://www.nytimes.com/2023/03/19/business/ubs-credit-suisse.html,UBS Agrees to Buy Rival Credit Suisse,The New York Times
Bing,https://www.businessinsider.com/best-stock-picks-investing-high-upside-dividend-growth-profit-ubs-2023-4,UBS: Buy these 30 stocks to profit from their market-beating combination of upside and outsize dividend growth,Business Insider
Bing,https://abcnews.go.com/International/wireStory/ubs-brings-back-ermotti-ceo-credit-suisse-deal-98198739,UBS brings back Ermotti as CEO with Credit Suisse deal ahead,ABC News
Bing,https://nypost.com/2023/03/20/credit-suisse-bondholders-blast-insane-ubs-takeover/,Credit Suisse bondholders blast ‘insane’ UBS takeover: ‘Against the law’,New York Post
Bing,https://www.businessinsider.com/ubs-buys-credit-suisse-with-bitter-digs-throughout-2023-3,UBS' dramatic takeover of Credit Suisse was the deal neither bank wanted. Here are some of the passive-aggressive digs from both sides.,Business Insider
Bing,https://www.foxbusiness.com/economy/ubs-reaches-agreement-to-buy-credit-suisse-after-upping-offer,UBS reaches agreement to buy Credit Suisse after upping offer,Fox Business
Bing,https://www.reuters.com/breakingviews/boomerang-ubs-boss-ticks-several-important-boxes-2023-03-29/,Boomerang UBS boss ticks several important boxes,Reuters
Bing,https://www.washingtonpost.com/business/2023/03/18/ubs-creditsuisse-takeover/,UBS said to be nearing deal in takeover talks with Credit Suisse,The Washington Post
Bing,https://www.bloomberg.com/opinion/articles/2023-03-20/ubs-got-credit-suisse-for-almost-nothing,UBS Got Credit Suisse for Almost Nothing,Bloomberg L.P.
Bing,https://www.thestreet.com/investing/ubs-credit-suisse-merger-may-lead-to-massive-layoffs,UBS-Credit Suisse Merger May Lead to Massive Layoffs,TheStreet.com
Bing,https://www.cnbc.com/2023/03/29/ubs-sergio-ermotti-switzerland-gets-a-cost-cutting-local-to-restore-its-reputation.html,"'Call of duty': With Sergio Ermotti, Switzerland gets a cost-cutting local to restore its reputation",CNBC
Bing,https://www.ubs.com/us/en/asset-management/individual-investors-and-financial-advisors/products/separately-managed-accounts.html,UBS Separately Managed Accounts,UBS
Bing,https://www.businessinsider.com/ubs-buys-credit-suisse-with-bitter-digs-throughout-2023-3,UBS' dramatic takeover of Credit Suisse was the deal neither bank wanted. Here are some of the passive-aggressive digs from both sides.,Business Insider
Bing,https://www.usatoday.com/story/money/business/2023/03/19/ubs-announces-takeover-credit-suisse/11504931002/,Swiss banking giant UBS to buy troubled rival Credit Suisse to avoid a larger global financial crisis,USA Today
Bing,https://www.bloomberg.com/opinion/articles/2023-03-20/ubs-got-credit-suisse-for-almost-nothing,UBS Got Credit Suisse for Almost Nothing,Bloomberg L.P.
Bing,https://www.thestreet.com/investing/ubs-credit-suisse-merger-may-lead-to-massive-layoffs,UBS-Credit Suisse Merger May Lead to Massive Layoffs,TheStreet.com
Bing,https://www.cnbc.com/2023/03/29/ubs-sergio-ermotti-switzerland-gets-a-cost-cutting-local-to-restore-its-reputation.html,"'Call of duty': With Sergio Ermotti, Switzerland gets a cost-cutting local to restore its reputation",CNBC
Bing,https://www.forbes.com/sites/jackkelly/2023/03/19/ubs-buys-beleaguered-credit-suisse-to-avoid-a-potential-financial-contagion-large-layoffs-are-likely/,UBS To Buy Beleaguered Credit Suisse To Avoid A Potential Financial Contagion—Large Layoffs Are Likely,Forbes
Bing,https://247wallst.com/investing/2023/03/21/why-credit-suisses-ubs-deal-seems-like-an-extraordinary-bailout/,Why Credit Suisse's UBS Deal Seems Like an Extraordinary Bailout,24/7 Wall St
Bing,https://www.morningstar.com/articles/1144954/why-the-ubs-takeover-of-credit-suisse-is-bad-for-bondholders,Why the UBS Takeover of Credit Suisse Is Bad for Bondholders,Morningstar
Bing,https://www.ubs.com/us/en/wealth-management/about-us/disclosure-documents.html,Disclosure Documents,UBS
